Save No	Element	redox	Solid Phase	Specific Surface Area(m2/g)	CEC(meq/100g)	note	Solid Phase Group	Solution/Solid(mL/g)	Solution(mL)	Solid(g)	temp(degC)	Water Type	Ca(ppm)	Na(ppm)	K(ppm)	Mg(ppm)	Cl(ppm)	HCO3(ppm)	SO4(ppm)	F(ppm)	SiO2(ppm)	Fe(ppm)	NO3(ppm)	ClO4(ppm)	Ionic strength(mol/L)	DOC(ppm)	note	Ionic strength(mol/L)	pH init	pH end	C init(mol/L)	Contact time(day)	Separation	Eh init(mV)	Eh end(mV)	atm/redox condition	Kd(m3/kg)	error	Data type	Reference	Author	Year	Title	Journal	Publisher	Vol	No	Page	Note	replicates, n	additional/information	Kd Graph Data	Temp Graph Data	pH Graph Data	Time Graph Data	Eh Graph Data	Cinit Graph Data	Solution/Solid Graph Data	
30454	Sr	II	propylite	n.r.	3.4	-	Basaltic rocks	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	1.50E-01	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.15	25.0	7.5	7.0	0.0	0.0	50.0	
30455	Sr	II	basalt	n.r.	0.75	Olivine basalt	Basaltic rocks	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	3.80E-01	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.38	25.0	7.5	7.0	0.0	0.0	50.0	
30456	Sr	II	andesite	n.r.	1.9	Augite andesite	Basaltic rocks	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	4.40E-01	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.44	25.0	7.5	7.0	0.0	0.0	50.0	
30457	Sr	II	granite	n.r.	0.35	Rokko granite	Granitic rocks	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	2.20E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.022	25.0	7.5	7.0	0.0	0.0	50.0	
30458	Sr	II	granite	n.r.	0.54	Inada granite	Granitic rocks	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	8.20E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.082	25.0	7.5	7.0	0.0	0.0	50.0	
30459	Sr	II	shale	n.r.	1.9	-	Mudstone (Sedimentary rocks)	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	9.50E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.095	25.0	7.5	7.0	0.0	0.0	50.0	
30460	Sr	II	forsterite	n.r.	0.07	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	9.20E-04	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.00092	25.0	7.5	7.0	0.0	0.0	50.0	
30461	Sr	II	limestone	n.r.	0.03	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	1.30E-03	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.0013	25.0	7.5	7.0	0.0	0.0	50.0	
30462	Sr	II	epidote	n.r.	0.02	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	3.00E-03	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.003	25.0	7.5	7.0	0.0	0.0	50.0	
30463	Sr	II	K-feldspar	n.r.	0.03	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	1.40E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.014	25.0	7.5	7.0	0.0	0.0	50.0	
30464	Sr	II	hornblende	n.r.	0.33	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	2.00E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.02	25.0	7.5	7.0	0.0	0.0	50.0	
30465	Sr	II	quartz	n.r.	0.01	-	Other minerals	50	50	1	25	Sr solution													0.0		-	0.0	n.r.	6-9	carrier-free	7	c(12,000rpm/10m)	n.r.	n.r.	n.r.	2.30E-02	n.r.	Kd [cm3/g] from table	Akiba and Hashimoto(1990)	Akiba, K. and Hashimoto, H.	1990	Distribution Coefficient of Strontium on Variety of Minerals and Rocks	Journal of Nuclear Science and Technology		27	3	275-279		n.r.	-	0.023	25.0	7.5	7.0	0.0	0.0	50.0	
