ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Phase characterization of cementitious components of a waste repository and the potential of individual phases for sorption of radioisotopes.1990,aat90,not found,1990,"Waste Processing , Transportation, Storage and Disposal, Technical Programs and Public Education",2,399-406,"Aggarwal, S. , Angus, M. J. and Tyson, A.",Phase characterization of cementitious components of a waste repository and the potential of individual phases for sorption of radioisotopes.
,"Cobalt, cadmium, and lead sorption to hydrous iron oxide: residence time effect1994",apgvds94,http://dx.doi.org/10.2136/sssaj1994.03615995005800060005x,1994,Soil Science Society of America Journal,58,1615-1623,"Ainsworth, C.C., Pilon, J.L., Gassman, P.L. and Van Der Sluys, W.G.","Cobalt, cadmium, and lead sorption to hydrous iron oxide: residence time effect"
,"Assessing Cd, Co, Cu, Ni and Pb Sorption on Montmorillonite Using Surface Complexation Models2011",ark11,http://dx.doi.org/10.1016/j.apgeochem.2011.03.091,2011,Applied Geochemistry,26,S154-S157,"Akafia, M. M. , Reich, T. J. and Koretsky, C. M.","Assessing Cd, Co, Cu, Ni and Pb Sorption on Montmorillonite Using Surface Complexation Models"
,Distribution Coefficient of Strontium on Variety of Minerals and Rocks1990,ah90,http://dx.doi.org/10.1080/18811248.1990.9731180,1990,Journal of Nuclear Science and Technology,27,275-279,"Akiba, K. and Hashimoto, H.",Distribution Coefficient of Strontium on Variety of Minerals and Rocks
,Distribution Coefficient of Strontium on Variety of Minerals and Rocks1990,ah90,http://dx.doi.org/10.1080/18811248.1990.9731180,1990,Journal of Nuclear Science and Technology,27,275-279,"Akiba, K. and Hashimoto, H.",Distribution Coefficient of Strontium on Variety of Minerals and Rocks
,Distnibution Coefficient of Cesium and Catiom Exchange Capacity of Minerals and Rocks1989,ahk89,not found,1989,Journal of Nuclear Science and Technology,26,1130-1135,"Akiba, K. , Hashimoto, H. and Kanno, T.",Distnibution Coefficient of Cesium and Catiom Exchange Capacity of Minerals and Rocks
,Ion exchange capacity of rock and distribution coefficient of cesium1986,a86,not found,1986,Natural barrier of land disposal,NA,11-Jan,"Akiba, K.",Ion exchange capacity of rock and distribution coefficient of cesium
,Ion exchange capacity of rock and distribution coefficient of cesium1986,a86,not found,1986,Natural barrier of land disposal,NA,11-Jan,"Akiba, K.",Ion exchange capacity of rock and distribution coefficient of cesium
,Diffusion of Radionuclides in Concrete / Bentonite Systems1993,aaba93,http://dx.doi.org/10.1016/0169-7722(95)00046-1,1993,SKB Technical Report,NA,all page,"Albinsson, Y. , Andersson, K. , Boerjesson, S. and Allard, B.",Diffusion of Radionuclides in Concrete / Bentonite Systems
,Sorption of americum on geologic media1979,ab79,not found,1979,Journal of Environmental Science and Health,NA,507-518,"Allard, B. and Beall, G.W.",Sorption of americum on geologic media
,"Sorption of long-lived radionuclides on clays and rocks, part 21978",akt78,not found,1978,"KBS Technical Report 98, in Swedish (Abstract in English)",NA,NA,"Allard, B., Kipatsi, H. and Torstenfelt, B.","Sorption of long-lived radionuclides on clays and rocks, part 2"
,Technetium: Reduction and Sorption in Granitic Bedrock1979,akt79a,not found,1979,Radiochemical and Radioanalytical Letters,37,223-230,"Allard, B. , Kigatsi, H. and Torstenfelt, B.",Technetium: Reduction and Sorption in Granitic Bedrock
