Mineral_source,Mineral,Mineral_formula
Na-phlogopite#2,Na-phlogopite,
Na-vermiculite,Na-vermiculite,
clay#1,,
a-FeOOH,goethite,FeOOH
dolomite,dolomite,CaMg(CO3)2
mineral,,
ferrous oxide,FeO,FeO
Mg-montmorillonite No.11,montmorillonite      ,
argillite#12,argillite,
magnetite#1,magnetite,Fe3O4
clinoptilolite,clinoptilolite,
MX-80,bentonite,
K-halloysite No.12,K-halloysite,
organic#7,,
Fe2O3?EH2O(am),ferrihydrite,Fe(OH)3
type R#2,,
argillite#9,argillite,
argillite#4,argillite,
Ca-Clay,,
GMZ bentonite,bentonite,
augite,augite,
bentonite,bentonite,
sand#4-4,quartz,SiO2
Na-bentonite,bentonite,
goethite+FA,goethite,FeOOH
Na-vermiculite#1,Na-vermiculite,
NH4-kaolinite,NH4-kaolinite,
smectite#12,smectite,
goethite,goethite,FeOOH
Ca-kaolinite No.4,Ca-kaolinite,
corundum,corundum,Al2O3
clay#1-2,,
sand/bentonite,,
Ca-bentonite#1,Ca-bentonite,
organic#4,,
OPA,,
bentonite#1,bentonite,
phlogopite,phlogopite,
bentonite/sand#3,,
K-vermiculite#1,K-vermiculite,
Na-SAz-1 montmorillonite,Na-montmorillonite,
biotite,biotite,
glaciofluvial minerals#6,,
Opalinus clay,,
K-kaolinite No.4,K-kaolinite,
bentonite+zeolite(8:2),,
agent,,
argillite#3,argillite,
Al(OH)3,Al(OH)3,Al(OH)3
Act_C,,
NH4-illite,NH4-illite,
Upper Toarcian,,
smectite#1,smectite,
K-vermiculite#3,K-vermiculite,
Na-biotite,Na-biotite,
resin,,
quartz#1,quartz,SiO2
K-illite,K-illite,
microcline,microcline,
albite,albite,
bentonite/sand#5,,
Na-kaolinite,Na-kaolinite,
bentonite+zeolite(6:4),,
bentonite/magnetite(0.7/0.3),,
Fe oxyhydroxide,ferrihydrite,Fe(OH)3
hornblende,hornblende,
vermiculite#2,vermiculite,
P-goethite,goethite,FeOOH
K-montmorillonite No.21,K-montmorillonite,
chlorite,chlorite,
K-feldspar,K-feldspar,
Na-vermiculite#3,Na-vermiculite,
calcite,calcite,CaCO3
d-MnO2,gama-MnO2                           ,MnO2
pyrite,pyrite,FeS
Na-phlogopite#2-50%,Na-phlogopite,
H-montmorillonite,montmorillonite,
MX-80#2,bentonite,
mixture(goethite+mont.)#3,,
schist#1,,
Ca-illite,Ca-illite,
olivine,olivine,
hematite#1,hematite,Fe2O3
organic#5,,
bentonite/magnetite(0.99/0.01),,
cerusite,cerusite,
FA-bentonite,bentonite,
KWK 20-80,bentonite,
Ca-montmorillonite-No.11,Ca-montmorillonite,
Ca-bentonite#2,Ca-bentonite,
clinoptilolite#4,clinoptilolite,
CaCO3,calcite,CaCO3
heulandite,heulandite,
anorthite,anorthite,
Na-bentonite+HA(10mg/L),Na-bentonite,
type R,,
bentonite+20HA,Na-bentonite,
hematite,hematite,Fe2O3
Na-phlogopite#2-25%,Na-phlogopite,
magnetite,magnetite,Fe3O4
SiO2 powder#1,quartz,SiO2
chlorite#2,chlorite,
Fe(OH)3(am),ferrihydrite,Fe(OH)3
clinoptilolite#6,clinoptilolite,
smectite#8,smectite,
sand#3-2,quartz,SiO2
bentonite+10HA,bentonite,
illite,illite,
Al oxide,Al2O3,Al2O3
Na-zeolite,zeolite,
a-Al2O3#3,corundum,Al2O3
limestone,calcite,CaCO3
hydrargilite,argillite,
Mg-kaolinite No.4,Mg-kaolinite,
SiO2 powder#2,quartz,SiO2
bentonite+zeolite(4:6),,
Mg-halloysite No.12,Mg-halloysite,
argillite#7,argillite,
sand#1-2,quartz,SiO2
Al2O3,Al2O3,Al2O3
apatite#2,apatite,Ca5(PO4)3F
silica,quartz,SiO2
clay#4,,
sand#3-4,quartz,SiO2
a-Al2O3#2,corundum,Al2O3
Na-bentonite#2,Na-bentonite,
organic#28,,
organic#9,,
limestone#2,calcite,CaCO3
organic#3,,
zeolite+HA,zeolite,
chlorite#1,chlorite,
type R#1,,
mixture(goethite+mont.)#1,,
bentonite+50HA,bentonite,
zeolite#4,zeolite,
clay,,
bentonite/quartz(50/50),,
clinoptilolite#3,clinoptilolite,
artificial minerals#1,,
sphene,sphene,
polymer,,
oligoclase,oligoclase,
K-montmorillonite,K-montmorillonite,
Ca-bentonite,Ca-bentonite,
smectite,smectite,
Na-SWy-1 montmorillonite,Na-montmorillonite,
humic acid,,
bentonite/magnetite(0.3/0.7),,
clay#2,,
mont+goet,,
Na-vermiculite#2,Na-vermiculite,
organic#1,,
sand#4-2,quartz,SiO2
illite#2,illite,
bentonite/sand#1,,
bentonite/fly ash#10,bentonite,
smectite#3,smectite,
Ca-montmorillonite No.21,Ca-montmorillonite,
schist#2,,
bentonite/sand#2,,
Na-illite,Na-illite,
smectite#2,smectite,
bentonite/magnetite(0.5/0.5),,
aluminium oxide,alumina,Al2O3
K-smectite,K-smectite,
GMZ bentonite+HA,bentonite,
Na-illite#1,Na-illite,
saponite,saponite,
sand#4-1,quartz,SiO2
sand#2-1,quartz,SiO2
MnO2,MnO2,MnO2
portlandite,,
mixture(goethite+mont.)#2,,
smectite#9,smectite,
cation exchange resin,,
silica gel,SiO2,SiO2
epidote,epidote,
